Data,Approx,,,Local Search,,,,Brute Force,(Feature_seconds),,,,,,,,,,
,Time (sec),Sol.Quality,Relative Error _Approx,Time (sec),Avg. Sol.Quality,Best Sol. Quality,Rel_Error_LS,Time_30,Quality_30,FullTour_30,Time_60,Quality_60,FullTour_60,Time_300,Quality_300,FullTour_300,Time_600,Quality_600,FullTour_600
Atlanta,6.32E-05,2380447.555,0.180905,0.1206335068,2039428.063,2016321.994,0.011462,30,3630534,Yes,60,3630534,Yes,300,3353390,Yes,600,3321711,Yes
Berlin,0.0003321170807,10403.86036,0.309738,0.2152244329,8012.059762,7941.313325,0.008901,30,19448,Yes,60,19438,Yes,300,19249,Yes,600,19233,Yes
Boston,0.0002057552338,1150959.11,0.224374,0.1587280989,962247.8519,940032.8035,0.023643,30,2234116,Yes,60,2227323,Yes,300,2220896,Yes,600,2210534,Yes
Champaign,0.0003831386566,65714.18656,0.248101,0.1758158445,54044.44698,52672.07927,0.026024,30,218074,Yes,60,216391,Yes,300,209943,Yes,600,209943,Yes
Cincinnati,2.10E-05,301215.8727,0.083615,0.06773586273,278569.0067,277952.5865,0.002216,0.55,277952,Yes,0.55,277952,Yes,0.55,277952,Yes,0.55,277952,Yes
Denver,0.0008778572083,134748.245,0.282157,0.2586569786,106845.2274,105100.0497,0.016611,30,563620,Yes,60,547974,Yes,300,546699,Yes,600,540975,Yes
NYC,0.0005388259888,2027108.378,0.275164,0.2382211685,1639317.068,1589566.54,0.031315,30,7239945,Yes,60,7210976,Yes,300,7166313,Yes,600,7166313,Yes
Philadelphia,0.0001237392426,1646247.583,0.134929,0.1479566813,1395980.783,1450704.619,-0.037717,30,3710782,Yes,60,3624919,Yes,300,3624919,Yes,600,3624919,Yes
Roanoke,0.005763053894,838287.4874,0.158627,0.8491278887,739983.7729,723620.4928,0.022655,30,6857992,Yes,60,6849948,Yes,300,6847051,Yes,600,6767159,Yes
SanFrancisco,0.001163005829,1134996.972,0.340257,0.3048487663,847555.0604,846909.7242,0.000761,30,5604793,Yes,60,5600573,Yes,300,5591805,Yes,600,5591805,Yes
Toronto,0.00130200386,1675107.673,0.387294,0.3777042866,1254175.805,1207856.053,0.038373,30,9219353,Yes,60,9184579,Yes,300,9192020,Yes,600,9116969,Yes
UKansasState,2.19E-05,68089.15962,0.081552,0.0565718174,62962.31281,62962.31281,0,0.41,62962,Yes,0.41,62962,Yes,0.41,62962,Yes,0.41,62962,Yes
UMissouri,0.001259088516,178251.6508,0.265811,0.3741400957,142571.9524,140860.7278,0.012142,30,663479,Yes,60,662935,Yes,300,662935,Yes,600,660277,Yes